ORDER_ID,CUSTOMER_ID,PRODUCT_ID,STORE_ID,ORDER_DATE,QUANTITY,TOTAL_AMOUNT,ORDER_STATUS
O0001,C1002,P1006,ST002,2024-09-16,4,480000,Cancelled
O0002,C1001,P1003,ST005,2024-07-27,1,85000,Cancelled
O0003,C1006,P1002,ST003,2024-09-23,1,58000,Cancelled
O0004,C1003,P1007,ST004,2024-07-22,5,350000,Delivered
O0005,C1007,P1004,ST010,2024-07-10,3,234000,Shipped
O0006,C1007,P1009,ST004,2024-09-08,2,5000,Delivered
O0007,C1005,P1009,ST008,2024-07-19,2,5000,Delivered
O0008,C1010,P1002,ST006,2024-08-11,3,174000,Processing
O0009,C1004,P1010,ST009,2024-07-15,3,24000,Shipped
O0010,C1003,P1003,ST007,2024-08-17,5,425000,Processing
O0011,C1001,P1004,ST009,2024-07-06,1,78000,Delivered
O0012,C1003,P1001,ST006,2024-08-04,1,65000,Cancelled
O0013,C1004,P1010,ST001,2024-09-07,4,32000,Delivered
O0014,C1004,P1004,ST003,2024-07-04,1,78000,Cancelled
O0015,C1001,P1002,ST005,2024-07-27,3,174000,Processing
O0016,C1006,P1006,ST005,2024-07-20,5,600000,Delivered
O0017,C1007,P1008,ST001,2024-07-03,4,14000,Delivered
O0018,C1007,P1008,ST006,2024-08-01,1,3500,Shipped
O0019,C1001,P1007,ST008,2024-07-02,4,280000,Shipped
O0020,C1009,P1005,ST008,2024-07-04,4,10000,Processing
O0021,C1003,P1007,ST010,2024-07-10,3,210000,Delivered
O0022,C1010,P1006,ST003,2024-09-03,5,600000,Processing
O0023,C1006,P1001,ST003,2024-07-13,4,260000,Delivered
O0024,C1010,P1009,ST009,2024-07-13,3,7500,Delivered
O0025,C1001,P1005,ST001,2024-07-08,5,12500,Delivered
O0026,C1002,P1001,ST009,2024-08-11,2,130000,Shipped
O0027,C1009,P1001,ST008,2024-08-14,4,260000,Shipped
O0028,C1005,P1005,ST009,2024-09-09,5,12500,Shipped
O0029,C1009,P1005,ST007,2024-08-04,5,12500,Processing
O0030,C1003,P1004,ST003,2024-09-06,3,234000,Cancelled
O0031,C1001,P1002,ST002,2024-08-11,3,174000,Processing
O0032,C1005,P1008,ST009,2024-07-28,4,14000,Cancelled
O0033,C1006,P1009,ST007,2024-08-15,2,5000,Delivered
O0034,C1009,P1002,ST006,2024-09-01,3,174000,Cancelled
O0035,C1002,P1009,ST009,2024-07-08,2,5000,Delivered
O0036,C1007,P1005,ST004,2024-08-30,4,10000,Cancelled
O0037,C1007,P1003,ST002,2024-07-26,4,340000,Shipped
O0038,C1001,P1004,ST009,2024-07-05,3,234000,Processing
O0039,C1002,P1002,ST008,2024-08-14,2,116000,Processing
O0040,C1002,P1006,ST001,2024-09-18,1,120000,Delivered
O0041,C1003,P1010,ST006,2024-08-13,4,32000,Cancelled
O0042,C1007,P1002,ST004,2024-08-31,5,290000,Processing
O0043,C1003,P1006,ST003,2024-08-29,1,120000,Delivered
O0044,C1007,P1006,ST007,2024-09-28,1,120000,Delivered
O0045,C1006,P1005,ST010,2024-07-16,5,12500,Delivered
O0046,C1008,P1002,ST004,2024-08-24,3,174000,Delivered
O0047,C1010,P1007,ST004,2024-09-03,2,140000,Delivered
O0048,C1005,P1007,ST004,2024-08-09,3,210000,Processing
O0049,C1007,P1007,ST007,2024-07-25,4,280000,Delivered
O0050,C1007,P1003,ST009,2024-09-06,2,170000,Cancelled
O0051,C1004,P1003,ST004,2024-09-09,5,425000,Delivered
O0052,C1003,P1002,ST010,2024-09-20,4,232000,Delivered
O0053,C1007,P1005,ST006,2024-08-15,3,7500,Delivered
O0054,C1009,P1005,ST010,2024-07-23,2,5000,Shipped
O0055,C1007,P1008,ST006,2024-08-11,2,7000,Shipped
O0056,C1004,P1001,ST003,2024-09-02,3,195000,Processing
O0057,C1004,P1005,ST009,2024-09-07,5,12500,Processing
O0058,C1003,P1005,ST003,2024-08-04,4,10000,Delivered
O0059,C1001,P1003,ST008,2024-09-17,3,255000,Delivered
O0060,C1007,P1009,ST005,2024-08-23,3,7500,Shipped
O0061,C1006,P1006,ST010,2024-09-09,4,480000,Delivered
O0062,C1010,P1004,ST002,2024-08-16,2,156000,Delivered
O0063,C1004,P1009,ST008,2024-09-03,4,10000,Delivered
O0064,C1008,P1003,ST007,2024-07-14,1,85000,Shipped
O0065,C1005,P1009,ST003,2024-09-05,5,12500,Cancelled
O0066,C1009,P1009,ST007,2024-07-13,2,5000,Shipped
O0067,C1001,P1007,ST001,2024-09-20,2,140000,Processing
O0068,C1008,P1002,ST007,2024-09-18,4,232000,Delivered
O0069,C1005,P1004,ST002,2024-08-02,4,312000,Delivered
O0070,C1010,P1009,ST004,2024-09-21,5,12500,Delivered
O0071,C1005,P1008,ST005,2024-07-16,1,3500,Shipped
O0072,C1010,P1002,ST009,2024-07-12,5,290000,Cancelled
O0073,C1002,P1008,ST003,2024-07-13,2,7000,Delivered
O0074,C1010,P1010,ST009,2024-07-08,3,24000,Delivered
O0075,C1006,P1003,ST008,2024-09-07,3,255000,Delivered
O0076,C1007,P1009,ST001,2024-09-23,3,7500,Delivered
O0077,C1007,P1005,ST001,2024-08-04,4,10000,Processing
O0078,C1009,P1001,ST004,2024-08-04,2,130000,Cancelled
O0079,C1004,P1003,ST010,2024-08-26,5,425000,Cancelled
O0080,C1010,P1004,ST009,2024-08-10,2,156000,Processing
O0081,C1010,P1004,ST010,2024-08-12,5,390000,Delivered
O0082,C1001,P1005,ST004,2024-07-26,2,5000,Cancelled
O0083,C1009,P1001,ST004,2024-08-06,2,130000,Delivered
O0084,C1006,P1005,ST008,2024-09-21,5,12500,Processing
O0085,C1003,P1008,ST005,2024-07-06,4,14000,Shipped
O0086,C1010,P1006,ST001,2024-09-19,3,360000,Shipped
O0087,C1004,P1007,ST007,2024-09-05,1,70000,Delivered
O0088,C1007,P1003,ST010,2024-08-03,4,340000,Delivered
O0089,C1009,P1002,ST010,2024-09-26,5,290000,Shipped
O0090,C1010,P1008,ST010,2024-07-01,1,3500,Delivered
O0091,C1007,P1006,ST006,2024-07-22,5,600000,Shipped
O0092,C1002,P1010,ST007,2024-07-05,4,32000,Delivered
O0093,C1002,P1003,ST008,2024-08-01,2,170000,Delivered
O0094,C1009,P1004,ST006,2024-07-06,2,156000,Processing
O0095,C1004,P1005,ST005,2024-08-06,1,2500,Processing
O0096,C1005,P1003,ST006,2024-08-15,5,425000,Shipped
O0097,C1004,P1001,ST005,2024-07-21,4,260000,Processing
O0098,C1008,P1007,ST003,2024-07-04,1,70000,Delivered
O0099,C1010,P1004,ST001,2024-07-11,4,312000,Processing
O0100,C1003,P1009,ST010,2024-08-25,3,7500,Delivered
