PAYMENT_ID,ORDER_ID,PAYMENT_METHOD,PAYMENT_DATE,PAYMENT_STATUS,AMOUNT
PM001,O0001,Credit Card,2024-09-16,Success,480000
PM002,O0002,Cash on Delivery,2024-07-27,Success,85000
PM003,O0003,Debit Card,2024-09-23,Refunded,58000
PM004,O0004,Net Banking,2024-07-22,Success,350000
PM005,O0005,Debit Card,2024-07-10,Success,234000
PM006,O0006,Net Banking,2024-09-08,Success,5000
PM007,O0007,Cash on Delivery,2024-07-19,Success,5000
PM008,O0008,Net Banking,2024-08-11,Success,174000
PM009,O0009,UPI,2024-07-15,Pending,24000
PM010,O0010,Cash on Delivery,2024-08-17,Success,425000
PM011,O0011,Credit Card,2024-07-06,Success,78000
PM012,O0012,Wallet,2024-08-04,Success,65000
PM013,O0013,Debit Card,2024-09-07,Success,32000
PM014,O0014,UPI,2024-07-04,Success,78000
PM015,O0015,Net Banking,2024-07-27,Pending,174000
PM016,O0016,UPI,2024-07-20,Refunded,600000
PM017,O0017,Credit Card,2024-07-03,Success,14000
PM018,O0018,UPI,2024-08-01,Refunded,3500
PM019,O0019,Wallet,2024-07-02,Success,280000
PM020,O0020,Net Banking,2024-07-04,Success,10000
PM021,O0021,Credit Card,2024-07-10,Refunded,210000
PM022,O0022,Net Banking,2024-09-03,Success,600000
PM023,O0023,Credit Card,2024-07-13,Success,260000
PM024,O0024,Debit Card,2024-07-13,Success,7500
PM025,O0025,Net Banking,2024-07-08,Success,12500
PM026,O0026,Cash on Delivery,2024-08-11,Success,130000
PM027,O0027,Net Banking,2024-08-14,Success,260000
PM028,O0028,Wallet,2024-09-09,Refunded,12500
PM029,O0029,Net Banking,2024-08-04,Success,12500
PM030,O0030,Net Banking,2024-09-06,Success,234000
PM031,O0031,UPI,2024-08-11,Success,174000
PM032,O0032,Net Banking,2024-07-28,Success,14000
PM033,O0033,Cash on Delivery,2024-08-15,Refunded,5000
PM034,O0034,UPI,2024-09-01,Success,174000
PM035,O0035,Cash on Delivery,2024-07-08,Success,5000
PM036,O0036,Net Banking,2024-08-30,Refunded,10000
