ORDER_ID,CUSTOMER_ID,PRODUCT_ID,STORE_ID,ORDER_DATE,QUANTITY,TOTAL_AMOUNT,ORDER_STATUS
O0001,C1001,P1004,ST002,2024-07-30,3,234000,Cancelled
O0002,C1004,P1003,ST001,2024-09-17,3,255000,Processing
O0003,C1005,P1003,ST005,2024-08-22,2,170000,Processing
O0004,C1006,P1008,ST002,2024-07-30,1,3500,Delivered
O0005,C1009,P1005,ST008,2024-09-27,3,7500,Delivered
O0006,C1009,P1001,ST005,2024-08-31,1,65000,Delivered
O0007,C1009,P1007,ST004,2024-07-12,5,350000,Cancelled
O0008,C1001,P1001,ST002,2024-07-27,3,195000,Delivered
O0009,C1008,P1002,ST007,2024-09-01,4,232000,Shipped
O0010,C1003,P1007,ST010,2024-07-14,4,280000,Processing
O0011,C1005,P1005,ST004,2024-07-04,3,7500,Delivered
O0012,C1007,P1008,ST005,2024-07-22,2,7000,Cancelled
O0013,C1003,P1006,ST008,2024-08-26,1,120000,Processing
O0014,C1002,P1006,ST009,2024-07-03,3,360000,Delivered
O0015,C1009,P1004,ST003,2024-08-16,4,312000,Processing
O0016,C1003,P1010,ST007,2024-07-02,2,16000,Cancelled
O0017,C1006,P1003,ST003,2024-09-09,2,170000,Delivered
O0018,C1008,P1007,ST010,2024-07-14,2,140000,Delivered
O0019,C1008,P1008,ST007,2024-09-03,4,14000,Processing
O0020,C1005,P1009,ST008,2024-09-03,2,5000,Delivered
O0021,C1010,P1009,ST009,2024-09-29,2,5000,Delivered
O0022,C1005,P1003,ST007,2024-07-10,3,255000,Cancelled
O0023,C1009,P1010,ST002,2024-08-04,4,32000,Delivered
O0024,C1005,P1003,ST004,2024-08-23,2,170000,Cancelled
O0025,C1005,P1008,ST006,2024-09-23,5,17500,Shipped
O0026,C1006,P1010,ST009,2024-09-03,2,16000,Delivered
O0027,C1001,P1003,ST002,2024-08-11,2,170000,Shipped
O0028,C1003,P1004,ST002,2024-09-28,4,312000,Delivered
O0029,C1006,P1005,ST005,2024-09-10,5,12500,Delivered
O0030,C1009,P1006,ST001,2024-07-27,5,600000,Cancelled
O0031,C1009,P1009,ST010,2024-09-09,3,7500,Cancelled
O0032,C1003,P1003,ST010,2024-08-24,4,340000,Processing
O0033,C1008,P1008,ST009,2024-07-05,1,3500,Delivered
O0034,C1004,P1007,ST001,2024-09-04,2,140000,Shipped
O0035,C1003,P1001,ST010,2024-09-16,5,325000,Delivered
O0036,C1004,P1009,ST008,2024-09-12,2,5000,Shipped
O0037,C1005,P1002,ST006,2024-09-05,3,174000,Processing
O0038,C1008,P1004,ST003,2024-07-11,1,78000,Shipped
O0039,C1007,P1005,ST003,2024-09-19,4,10000,Delivered
O0040,C1005,P1006,ST002,2024-07-03,2,240000,Processing
O0041,C1005,P1006,ST003,2024-08-29,1,120000,Delivered
O0042,C1007,P1010,ST009,2024-08-13,2,16000,Delivered
O0043,C1003,P1009,ST006,2024-07-30,1,2500,Delivered
O0044,C1009,P1001,ST005,2024-08-25,2,130000,Delivered
O0045,C1007,P1003,ST008,2024-07-23,1,85000,Delivered
O0046,C1003,P1004,ST002,2024-08-15,3,234000,Delivered
O0047,C1006,P1004,ST009,2024-09-13,3,234000,Delivered
O0048,C1008,P1003,ST010,2024-07-16,3,255000,Delivered
O0049,C1007,P1004,ST006,2024-08-25,1,78000,Processing
O0050,C1002,P1004,ST003,2024-08-04,2,156000,Delivered
O0051,C1006,P1007,ST007,2024-08-15,3,210000,Processing
O0052,C1002,P1005,ST006,2024-09-10,1,2500,Delivered
O0053,C1001,P1005,ST005,2024-08-09,1,2500,Shipped
O0054,C1009,P1005,ST004,2024-08-14,5,12500,Delivered
O0055,C1001,P1004,ST010,2024-09-03,5,390000,Delivered
O0056,C1008,P1002,ST004,2024-08-26,2,116000,Processing
O0057,C1010,P1003,ST007,2024-08-24,4,340000,Processing
O0058,C1004,P1002,ST009,2024-09-28,3,174000,Processing
O0059,C1007,P1007,ST001,2024-09-14,3,210000,Cancelled
O0060,C1009,P1001,ST004,2024-07-08,2,130000,Cancelled
O0061,C1008,P1002,ST006,2024-08-06,3,174000,Shipped
O0062,C1004,P1006,ST006,2024-09-15,1,120000,Cancelled
O0063,C1002,P1006,ST007,2024-09-16,5,600000,Processing
O0064,C1006,P1004,ST002,2024-08-26,4,312000,Shipped
O0065,C1003,P1007,ST002,2024-07-27,2,140000,Delivered
O0066,C1007,P1009,ST010,2024-09-15,1,2500,Delivered
O0067,C1008,P1009,ST002,2024-07-12,1,2500,Delivered
O0068,C1002,P1006,ST008,2024-07-19,1,120000,Delivered
O0069,C1004,P1004,ST002,2024-07-12,4,312000,Delivered
O0070,C1006,P1005,ST006,2024-08-31,5,12500,Cancelled
O0071,C1005,P1010,ST004,2024-08-03,5,40000,Cancelled
O0072,C1001,P1008,ST003,2024-09-07,5,17500,Delivered
O0073,C1001,P1007,ST009,2024-07-17,3,210000,Cancelled
O0074,C1006,P1006,ST008,2024-09-09,4,480000,Delivered
O0075,C1005,P1009,ST009,2024-08-29,1,2500,Delivered
O0076,C1005,P1005,ST008,2024-08-14,1,2500,Cancelled
O0077,C1002,P1004,ST007,2024-09-23,4,312000,Delivered
O0078,C1010,P1001,ST010,2024-08-19,2,130000,Shipped
O0079,C1007,P1006,ST006,2024-09-01,4,480000,Cancelled
O0080,C1002,P1010,ST008,2024-09-29,3,24000,Delivered
O0081,C1003,P1003,ST006,2024-07-20,1,85000,Cancelled
O0082,C1008,P1004,ST004,2024-09-17,5,390000,Processing
O0083,C1006,P1002,ST009,2024-07-13,4,232000,Processing
O0084,C1002,P1007,ST008,2024-09-17,3,210000,Delivered
O0085,C1009,P1008,ST008,2024-07-03,4,14000,Delivered
O0086,C1004,P1004,ST003,2024-08-01,3,234000,Delivered
O0087,C1003,P1009,ST008,2024-09-07,1,2500,Delivered
O0088,C1005,P1004,ST010,2024-07-28,4,312000,Shipped
O0089,C1003,P1003,ST004,2024-07-05,2,170000,Cancelled
O0090,C1004,P1002,ST009,2024-08-26,2,116000,Shipped
O0091,C1003,P1005,ST002,2024-08-08,2,5000,Delivered
O0092,C1008,P1008,ST003,2024-08-12,2,7000,Delivered
O0093,C1009,P1007,ST009,2024-07-31,5,350000,Processing
O0094,C1001,P1007,ST003,2024-08-19,4,280000,Shipped
O0095,C1003,P1005,ST010,2024-08-02,5,12500,Delivered
O0096,C1001,P1004,ST009,2024-07-17,3,234000,Processing
O0097,C1001,P1009,ST006,2024-08-06,1,2500,Cancelled
O0098,C1009,P1001,ST007,2024-09-04,4,260000,Processing
O0099,C1010,P1004,ST008,2024-08-11,3,234000,Cancelled
O0100,C1008,P1002,ST008,2024-08-15,5,290000,Delivered
